name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,16651232,,parking,,,"POLYGON ((-122.4221097 37.7686689, -122.4217811 37.7686883, -122.4215004 37.7687049, -122.4214806 37.7684758, -122.4217506 37.7684622, -122.4217471 37.7684191, -122.4220899 37.7683972, -122.4221097 37.7686689))",POINT (-122.4218078 37.7685592),1511.2,16266.1
Mission High School,1,24524033,,school,,,"POLYGON ((-122.4282119 37.7624802, -122.4283441 37.7624771, -122.4263925 37.7626344, -122.426409 37.7626335, -122.4268215 37.7626109, -122.428211 37.7625346, -122.4282119 37.7624802))",POINT (-122.4275969 37.7625531),412.6,4441.5
Hoff Street Garage,2,25169769,,parking,,,"POLYGON ((-122.4211446 37.7645378, -122.4209337 37.7645484, -122.420932 37.7645302, -122.420822 37.7645357, -122.4207948 37.7641964, -122.4211109 37.7641761, -122.4211446 37.7645378))",POINT (-122.4209704 37.7643634),1104.5,11888.4
,3,25169841,,parking,,,"POLYGON ((-122.421373 37.7653893, -122.4212512 37.7653941, -122.4212299 37.7650587, -122.4213517 37.7650538, -122.421373 37.7653893))",POINT (-122.4213015 37.765224),401.5,4321.2
Foods Co,4,25821952,,yes,,,"POLYGON ((-122.4165674 37.7679603, -122.4165047 37.7671954, -122.4156292 37.7672459, -122.4157154 37.7680201, -122.4165674 37.7679603))",POINT (-122.416103 37.7676038),6531.1,70300.6
,5,32945894,,yes,,,"POLYGON ((-122.4190145 37.7751114, -122.4187055 37.7753556, -122.4186653 37.7753588, -122.4186197 37.7753624, -122.4180067 37.774869, -122.418497 37.7744848, -122.4187849 37.7742572, -122.4188795 37.7746091, -122.4190145 37.7751114))",POINT (-122.4185887 37.7748642),5718.7,61555.0
,6,32945902,,yes,,,"POLYGON ((-122.4178766 37.7739317, -122.4175416 37.7741943, -122.4175262 37.7741819, -122.4174644 37.7742303, -122.417471 37.7742356, -122.4173405 37.7743379, -122.4180067 37.774869, -122.418497 37.7744848, -122.4183459 37.7743643, -122.4183881 37.7743312, -122.4181787 37.7741642, -122.4182394 37.7741166, -122.4180805 37.77399, -122.4180146 37.7740417, -122.4178766 37.7739317))",POINT (-122.4179374 37.7743894),5479.2,58977.1
Fell Street Apartments,7,32945951,,residential,,,"POLYGON ((-122.4240414 37.7756973, -122.4240279 37.7756327, -122.4240036 37.7756351, -122.4239759 37.7755069, -122.4240009 37.775503, -122.4239748 37.7753776, -122.4238033 37.7754047, -122.4238195 37.7754711, -122.4238364 37.7754681, -122.423868 37.7756251, -122.4237176 37.7756481, -122.4237107 37.7756159, -122.4237247 37.7756023, -122.4237211 37.7755794, -122.4236998 37.7755671, -122.4236662 37.7755715, -122.4236584 37.7755822, -122.4235377 37.7755975, -122.4235111 37.7754643, -122.423326 37.7754892, -122.4233492 37.775621, -122.4232726 37.7756302, -122.423256 37.7756196, -122.4232176 37.7756236, -122.4231964 37.7756455, -122.4232035 37.7756733, -122.4232187 37.7756843, -122.4232237 37.7757085, -122.4230767 37.7757277, -122.4230277 37.7755185, -122.4228994 37.7755353, -122.4228756 37.7755219, -122.422842 37.7755258, -122.4228251 37.7755458, -122.4228303 37.7755714, -122.4228487 37.7755853, -122.4228949 37.7757999, -122.4228764 37.7758227, -122.4228842 37.7758515, -122.4229091 37.7758672, -122.4229491 37.7758629, -122.4229695 37.7758392, -122.4240414 37.7756973))",POINT (-122.4234268 37.7756489),2441.6,26281.0
Herbst Building,8,35111899,,yes,,,"POLYGON ((-122.4186278 37.7759047, -122.4190433 37.7755747, -122.4191392 37.7755609, -122.4186278 37.7759047))",POINT (-122.4189368 37.7756801),126.3,1359.2
California Institute of Integral Studies,9,35115837,,school,,,"POLYGON ((-122.4165262 37.7746318, -122.4162704 37.7748367, -122.4158687 37.7745233, -122.4161245 37.7743184, -122.4165262 37.7746318))",POINT (-122.4161974 37.7745775),1587.2,17084.7
