name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Dehon Street,0,8915009,0,1,1,36.912186830914806,,,,residential,6,"LINESTRING (-122.4301235 37.7644163, -122.430116 37.7643388, -122.4300916 37.7640853)",auto,1
Dehon Street,1,8915009,1,0,1,36.912186830914806,,,,residential,6,"LINESTRING (-122.4300916 37.7640853, -122.430116 37.7643388, -122.4301235 37.7644163)",auto,1
,2,8915677,573,259,1,31.64198842831958,2,50,,motorway,1,"LINESTRING (-122.418 37.7691109, -122.4180267 37.7690767, -122.4180923 37.7690114, -122.4181714 37.7689579, -122.4182583 37.7689195)",auto,0
Colton Street,3,8915986,6,7,1,63.9283758268618,,,,residential,6,"LINESTRING (-122.419882 37.773281, -122.4199643 37.773216, -122.4201072 37.7731032, -122.4203966 37.7728747)",auto,1
Colton Street,4,8915986,7,6,1,63.9283758268618,,,,residential,6,"LINESTRING (-122.4203966 37.7728747, -122.4201072 37.7731032, -122.4199643 37.773216, -122.419882 37.773281)",auto,1
Colton Street,5,8915986,7,8,1,79.43092659034313,,,,residential,6,"LINESTRING (-122.4203966 37.7728747, -122.4210424 37.772375)",auto,1
Colton Street,6,8915986,8,7,1,79.43092659034313,,,,residential,6,"LINESTRING (-122.4210424 37.772375, -122.4203966 37.7728747)",auto,1
Prosper Street,7,8916023,10,9,1,178.89630388140682,,,,residential,6,"LINESTRING (-122.4315626 37.7627128, -122.4315639 37.7627268, -122.4315698 37.7627886, -122.4317082 37.764239, -122.4317156 37.7643171)",auto,0
Clinton Park,8,8916232,12,13,1,71.89075132224718,,,,residential,6,"LINESTRING (-122.4214935 37.769338, -122.422309 37.7692886)",auto,0
Pearl Street,9,8916246,16,15,1,174.06335743449625,,,,residential,6,"LINESTRING (-122.4238213 37.7697876, -122.4239051 37.7706611, -122.4239695 37.7712473, -122.4239805 37.7713479)",auto,0
Harlow Street,10,8916267,29,30,1,36.42167206633911,,,,residential,6,"LINESTRING (-122.429441 37.7644586, -122.4294334 37.7643802, -122.4294095 37.764132)",auto,1
Harlow Street,11,8916267,30,29,1,36.42167206633911,,,,residential,6,"LINESTRING (-122.4294095 37.764132, -122.4294334 37.7643802, -122.429441 37.7644586)",auto,1
Alert Alley,12,8916313,263,31,1,13.275801727255045,,,,residential,6,"LINESTRING (-122.4264346 37.7657848, -122.4265852 37.7657758)",auto,1
Alert Alley,13,8916313,31,263,1,13.275801727255045,,,,residential,6,"LINESTRING (-122.4265852 37.7657758, -122.4264346 37.7657848)",auto,1
Dolores Street,14,8916327,253,32,1,32.92830879128257,,25,,tertiary,5,"LINESTRING (-122.426805 37.7693004, -122.4268694 37.7692317, -122.4268927 37.7691955, -122.4268975 37.7691835, -122.4269063 37.7691617, -122.4269107 37.76913, -122.4269126 37.7690958, -122.4269112 37.7690818, -122.4269057 37.7690276)",auto,0
Lexington Street,15,8916526,51,52,1,97.93514085245674,,,,residential,6,"LINESTRING (-122.420901 37.762625, -122.420813 37.761747)",auto,0
Lexington Street,16,8916526,52,574,1,16.392581764968124,,,,residential,6,"LINESTRING (-122.420813 37.761747, -122.4207989 37.7616)",auto,0
Belcher Street,17,8916562,53,54,1,193.60919330284207,,,,residential,6,"LINESTRING (-122.4302589 37.7694026, -122.4302572 37.769389, -122.4302492 37.7693062, -122.4301643 37.768426, -122.430091 37.7676665)",auto,1
