name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,16651232,,parking,,,"POLYGON ((-122.4221097 37.7686689, -122.4217811 37.7686883, -122.4215004 37.7687049, -122.4214806 37.7684758, -122.4217506 37.7684622, -122.4217471 37.7684191, -122.4220899 37.7683972, -122.4221097 37.7686689))",POINT (-122.4218078 37.7685592),1509.6,16248.8
Mission High School,1,24524033,,school,,,"POLYGON ((-122.4282119 37.7624802, -122.4283441 37.7624771, -122.4282399 37.7613738, -122.4262498 37.7614829, -122.4263925 37.7626344, -122.426409 37.7626335, -122.4268215 37.7626109, -122.428211 37.7625346, -122.4282119 37.7624802))",POINT (-122.4273046 37.7620013),22284.7,239870.0
Hoff Street Garage,2,25169769,,parking,,,"POLYGON ((-122.4211446 37.7645378, -122.4209337 37.7645484, -122.420932 37.7645302, -122.420822 37.7645357, -122.4207948 37.7641964, -122.4211109 37.7641761, -122.4211446 37.7645378))",POINT (-122.4209704 37.7643634),1104.5,11888.4
,3,25169841,,parking,,,"POLYGON ((-122.421373 37.7653893, -122.4212512 37.7653941, -122.4212299 37.7650587, -122.4213517 37.7650538, -122.421373 37.7653893))",POINT (-122.4213015 37.765224),399.6,4301.5
,4,32945894,,yes,,,"POLYGON ((-122.4190145 37.7751114, -122.4187055 37.7753556, -122.4186653 37.7753588, -122.4186197 37.7753624, -122.4180067 37.774869, -122.418497 37.7744848, -122.4187849 37.7742572, -122.4188795 37.7746091, -122.4190145 37.7751114))",POINT (-122.4185887 37.7748642),5718.7,61555.0
,5,32945902,,yes,,,"POLYGON ((-122.4178766 37.7739317, -122.4175416 37.7741943, -122.4175262 37.7741819, -122.4174644 37.7742303, -122.417471 37.7742356, -122.4173405 37.7743379, -122.4180067 37.774869, -122.418497 37.7744848, -122.4183459 37.7743643, -122.4183881 37.7743312, -122.4181787 37.7741642, -122.4182394 37.7741166, -122.4180805 37.77399, -122.4180146 37.7740417, -122.4178766 37.7739317))",POINT (-122.4179374 37.7743894),5476.5,58948.7
Fell Street Apartments,6,32945951,,residential,,,"POLYGON ((-122.4240414 37.7756973, -122.4240279 37.7756327, -122.4240036 37.7756351, -122.4239759 37.7755069, -122.4240009 37.775503, -122.4239748 37.7753776, -122.4238033 37.7754047, -122.4238195 37.7754711, -122.4238364 37.7754681, -122.423868 37.7756251, -122.4237176 37.7756481, -122.4237107 37.7756159, -122.4237247 37.7756023, -122.4237211 37.7755794, -122.4236998 37.7755671, -122.4236662 37.7755715, -122.4236584 37.7755822, -122.4235377 37.7755975, -122.4235111 37.7754643, -122.423326 37.7754892, -122.4233492 37.775621, -122.4232726 37.7756302, -122.423256 37.7756196, -122.4232176 37.7756236, -122.4231964 37.7756455, -122.4232035 37.7756733, -122.4232187 37.7756843, -122.4232237 37.7757085, -122.4230767 37.7757277, -122.4230277 37.7755185, -122.4228994 37.7755353, -122.4228756 37.7755219, -122.422842 37.7755258, -122.4228251 37.7755458, -122.4228303 37.7755714, -122.4228487 37.7755853, -122.4228949 37.7757999, -122.4228764 37.7758227, -122.4228842 37.7758515, -122.4229091 37.7758672, -122.4229491 37.7758629, -122.4229695 37.7758392, -122.4240414 37.7756973))",POINT (-122.4234268 37.7756489),2439.4,26258.0
Herbst Building,7,35111899,,yes,,,"POLYGON ((-122.4192835 37.7762977, -122.4187267 37.7763735, -122.4186278 37.7759047, -122.4190433 37.7755747, -122.4191392 37.7755609, -122.4192835 37.7762977))",POINT (-122.4189627 37.7760133),3517.0,37856.6
,8,35174721,,yes,,,"POLYGON ((-122.4202408 37.775758, -122.4202177 37.7756409, -122.4201526 37.7756488, -122.4201108 37.775437, -122.4195549 37.7755055, -122.4196198 37.7758345, -122.4202408 37.775758))",POINT (-122.4198786 37.7756385),1907.9,20536.2
San Francisco Armory,9,35973054,,studio,,,"POLYGON ((-122.4211137 37.7681047, -122.4204911 37.768143, -122.420477 37.7681582, -122.420444 37.7681602, -122.4204295 37.7681468, -122.4202001 37.7681609, -122.4201874 37.7681754, -122.4201524 37.7681775, -122.420137 37.7681669, -122.4201348 37.7681437, -122.4201529 37.7681278, -122.4200987 37.7675765, -122.42008 37.7675655, -122.4200775 37.7675386, -122.4200937 37.7675252, -122.4207262 37.7674863, -122.4210509 37.7674664, -122.4211137 37.7681047))",POINT (-122.420602 37.7678157),6034.2,64951.7
San Francisco Friends School,10,36745548,,school,,,"POLYGON ((-122.4234021 37.7691847, -122.4226769 37.7692256, -122.4226718 37.7691758, -122.4227373 37.7691721, -122.4227028 37.7688389, -122.4226409 37.7688427, -122.422635 37.7687857, -122.4233589 37.7687403, -122.42336 37.768752, -122.4233848 37.7687505, -122.4233899 37.7688023, -122.4233651 37.7688038, -122.4234021 37.7691847))",POINT (-122.4230438 37.7689815),2952.5,31780.7
Peixotto Clubhouse,11,38898762,,yes,,,"POLYGON ((-122.437744 37.7657017, -122.43778 37.7656246, -122.4377418 37.7656132, -122.4377469 37.7656033, -122.4376156 37.765568, -122.437608 37.765585, -122.4375704 37.765572, -122.4375378 37.7656452, -122.4375764 37.765656, -122.4375748 37.7656594, -122.4377048 37.7656952, -122.4377068 37.7656919, -122.437744 37.7657017))",POINT (-122.4376606 37.7656332),194.0,2087.9
,12,42916771,,parking,,,"POLYGON ((-122.4194102 37.7707178, -122.4194276 37.7706423, -122.4195298 37.7706562, -122.4195625 37.7705206, -122.4194602 37.7705062, -122.4195016 37.7703314, -122.4196407 37.7704551, -122.419655 37.770518, -122.4196654 37.7705639, -122.4196099 37.7707404, -122.4194102 37.7707178))",POINT (-122.4195556 37.7705633),510.4,5493.4
TAP Plastics,13,42916776,,yes,,,"POLYGON ((-122.4188111 37.7712354, -122.4188258 37.7711273, -122.4182393 37.77108, -122.4182684 37.7711875, -122.4188111 37.7712354))",POINT (-122.418538 37.771157),592.7,6379.7
Cash & Carry,14,42916777,,yes,,,"POLYGON ((-122.4181574 37.7708354, -122.4181199 37.7707039, -122.4183405 37.7707192, -122.4185049 37.770181, -122.4187577 37.770219, -122.4187274 37.7703233, -122.4186344 37.77063, -122.4185617 37.7708659, -122.4181574 37.7708354))",POINT (-122.4184954 37.7705572),1937.0,20849.2
Discount Builders Supply,15,42916778,,yes,,,"POLYGON ((-122.4194102 37.7707178, -122.4194276 37.7706423, -122.4195298 37.7706562, -122.4195625 37.7705206, -122.4194602 37.7705062, -122.4195016 37.7703314, -122.4187787 37.7702252, -122.4187484 37.770325, -122.4187274 37.7703233, -122.4186344 37.77063, -122.4188822 37.770665, -122.4194102 37.7707178))",POINT (-122.4190916 37.7704835),3193.8,34378.1
,16,42916779,,parking,,,"POLYGON ((-122.4216312 37.7723919, -122.4216054 37.7721409, -122.4214853 37.7721477, -122.4214853 37.772107, -122.4210733 37.7721273, -122.4210475 37.772168, -122.4215797 37.7725751, -122.4216913 37.7724869, -122.4216312 37.7723919))",POINT (-122.4214184 37.7722916),1509.2,16244.9
,17,42916780,,parking,,,"POLYGON ((-122.4183405 37.7707192, -122.4181199 37.7707039, -122.4181005 37.7706482, -122.4181595 37.7706058, -122.4181769 37.7705814, -122.4181836 37.7705486, -122.4181762 37.7705009, -122.4180771 37.770412, -122.4179912 37.770336, -122.4179697 37.7702851, -122.4179331 37.7702389, -122.4178713 37.7702064, -122.41789 37.7701402, -122.41795 37.7700943, -122.4185049 37.770181, -122.4183405 37.7707192))",POINT (-122.4182187 37.7703598),2125.8,22882.3
,18,42916782,,yes,,,"POLYGON ((-122.4193549 37.771404, -122.4194983 37.7710627, -122.4189866 37.7710166, -122.4189449 37.7711387, -122.4188825 37.7713292, -122.4188752 37.7713516, -122.4191283 37.771378, -122.4193549 37.771404))",POINT (-122.4191803 37.7712069),1701.8,18318.3
Duboce Apartments,19,97167357,,yes,,,"POLYGON ((-122.4309687 37.7667637, -122.4309164 37.7661849, -122.4304632 37.7665513, -122.4306432 37.7666918, -122.4308125 37.7665605, -122.4308245 37.7665718, -122.4308288 37.7666072, -122.4308172 37.7666079, -122.4308189 37.76662, -122.430773 37.766623, -122.4307888 37.7667731, -122.4309687 37.7667637))",POINT (-122.4307775 37.7665145),1468.0,15801.8
Castro Theatre,20,99776277,,cinema,,,"POLYGON ((-122.4347671 37.761891, -122.4344545 37.7619098, -122.4344768 37.762141, -122.4347894 37.7621221, -122.4347913 37.7621419, -122.4348981 37.7621355, -122.4350051 37.7621291, -122.4349981 37.7620564, -122.4350418 37.7620318, -122.4350338 37.7619523, -122.4349859 37.7619309, -122.4349787 37.7618576, -122.4347651 37.7618705, -122.4347671 37.761891))",POINT (-122.4347486 37.7620082),1324.3,14255.0
1455 Market St.,21,103538672,,office,,,"POLYGON ((-122.4165776 37.7749184, -122.4171249 37.7744889, -122.4184675 37.775558, -122.4179201 37.7759875, -122.4177752 37.7758721, -122.4170724 37.7753124, -122.4165776 37.7749184))",POINT (-122.4175225 37.7752382),11360.1,122278.8
CPMC Davies Campus,22,112073351,,hospital,,,"POLYGON ((-122.4337126 37.7690835, -122.4335637 37.7675497, -122.4349151 37.7674677, -122.4355298 37.7674304, -122.4356788 37.7689642, -122.4337126 37.7690835))",POINT (-122.4346212 37.768257),29646.2,319108.9
Harvey Milk Recreational Arts Center,23,112073353,,community_centre,,,"POLYGON ((-122.4347933 37.769561, -122.4347873 37.7695311, -122.4346493 37.7695493, -122.4346375 37.769495, -122.4346063 37.7693462, -122.4344703 37.7693641, -122.4344893 37.7694576, -122.4344603 37.7694615, -122.4344715 37.7695156, -122.4344754 37.7695362, -122.4344783 37.7695486, -122.4344833 37.7695727, -122.4343503 37.7695901, -122.4343823 37.7697436, -122.4347793 37.7696914, -122.4347533 37.7695663, -122.4347933 37.769561))",POINT (-122.4345634 37.7695803),938.5,10102.4
,24,112593518,,parking,,,"POLYGON ((-122.4188653 37.7697882, -122.4190557 37.7695486, -122.4191281 37.7694214, -122.4191609 37.7692766, -122.4191893 37.7691612, -122.4198582 37.7691315, -122.4198568 37.7692204, -122.4197863 37.7692156, -122.4197828 37.7692458, -122.4192834 37.7692133, -122.4192077 37.7698521, -122.4188653 37.7697882))",POINT (-122.4192607 37.7694634),1704.5,18347.3
,25,112757635,,yes,,,"POLYGON ((-122.4219853 37.7700828, -122.4219964 37.7702176, -122.4219588 37.7702199, -122.4218101 37.7701533, -122.421681 37.7701033, -122.4216724 37.7700264, -122.4219775 37.7700084, -122.4219853 37.7700828))",POINT (-122.4218579 37.7700965),447.5,4816.8
,26,112757636,,yes,,,"POLYGON ((-122.4222846 37.7703799, -122.4222702 37.7702179, -122.4220204 37.7702325, -122.4220216 37.7702476, -122.4222668 37.7703816, -122.4222846 37.7703799))",POINT (-122.422185 37.7702811),231.0,2486.6
Zeitgeist,27,112757637,,pub,,,"POLYGON ((-122.4219775 37.7700084, -122.4219853 37.7700828, -122.4222627 37.7700648, -122.422255 37.7699904, -122.4220165 37.7700059, -122.4219775 37.7700084))",POINT (-122.4221201 37.7700366),204.2,2197.8
,28,114621472,,commercial,,,"POLYGON ((-122.429378 37.7674119, -122.4292758 37.7674954, -122.4291661 37.7675799, -122.4291983 37.7676404, -122.4294233 37.767626, -122.4294223 37.7676145, -122.4294781 37.7676114, -122.4294722 37.7675436, -122.4294421 37.7675445, -122.4294416 37.7675324, -122.4294853 37.7674995, -122.4293985 37.7674269, -122.429378 37.7674119))",POINT (-122.42934 37.7675479),430.1,4629.6
Cafe Flore,29,115433813,,cafe,,,"POLYGON ((-122.4328523 37.7646655, -122.4330007 37.7647797, -122.4330372 37.7647574, -122.4330348 37.7647334, -122.4329964 37.7647044, -122.4330129 37.7646923, -122.4329716 37.7646619, -122.4329968 37.7646426, -122.4329353 37.7645997, -122.4328523 37.7646655))",POINT (-122.4329513 37.7646876),148.3,1596.7
Perramont Hotel,30,115433820,,apartments,,,"POLYGON ((-122.4302076 37.7667504, -122.4302675 37.766703, -122.4303464 37.7667655, -122.4303406 37.7667701, -122.4304804 37.7668808, -122.4304941 37.76687, -122.4305602 37.7669223, -122.4305363 37.7669411, -122.4305739 37.7669708, -122.4305297 37.7670057, -122.4302076 37.7667504))",POINT (-122.4303963 37.7668539),286.0,3078.5
Beck's Motor Lodge,31,115433821,,yes,,,"POLYGON ((-122.4319339 37.7653863, -122.4322193 37.7656119, -122.4322024 37.7656243, -122.4322089 37.7656724, -122.4322163 37.765752, -122.4321817 37.7657531, -122.432049 37.765856, -122.4320287 37.7658588, -122.431969 37.7658101, -122.4319107 37.7658571, -122.4318384 37.7658023, -122.4316281 37.7656315, -122.4316904 37.7655783, -122.4317092 37.7655861, -122.4317047 37.7655896, -122.4319092 37.7657522, -122.4320861 37.7656113, -122.4319366 37.7654922, -122.4318481 37.7655585, -122.4318013 37.765521, -122.4318638 37.7654472, -122.431863 37.7654423, -122.4319339 37.7653863))",POINT (-122.4319762 37.7656561),1064.3,11456.0
San Francisco Fire Station 6,32,115433822,,fire_station,,,"POLYGON ((-122.430997 37.7669746, -122.4310027 37.7670377, -122.4310089 37.7670374, -122.431022 37.7671815, -122.4307334 37.7671975, -122.4307238 37.7670836, -122.4306979 37.767085, -122.4306927 37.7670356, -122.430719 37.7670341, -122.4307158 37.7669992, -122.4309544 37.7669856, -122.4309536 37.766977, -122.430997 37.7669746))",POINT (-122.4308653 37.7670893),574.5,6184.2
