name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,65280896,,,0,,tertiary,0,-122.4301235,37.7644163,,,
,1,65280905,,,0,,residential,0,-122.4300916,37.7640853,,,
,2,65281164,traffic_signals,,1,,residential,0,-122.4259102,37.7746045,,,
,3,65281218,,,0,,primary,0,-122.4233255,37.7718656,,,
,4,65281253,,,0,,secondary,0,-122.4198591,37.7703896,,,
,5,65284974,traffic_signals,,1,,residential,0,-122.4260983,37.7755395,,,
,6,65288752,,,0,,residential,0,-122.419882,37.773281,,,
,7,65288754,,,0,,residential,0,-122.4203966,37.7728747,,,
,8,65288759,,,0,,residential,0,-122.4210424,37.772375,,,
,9,65289005,,,0,,tertiary,0,-122.4317156,37.7643171,,,
,10,65289010,,,0,,residential,0,-122.4315626,37.7627128,,,
,11,65292019,,,0,,tertiary,0,-122.4267637,37.7689974,,,
,12,65292024,,,0,,residential,0,-122.4214935,37.769338,,,
,13,65292028,,,0,,tertiary,0,-122.422309,37.7692886,,,
,14,65292030,,,0,,secondary,0,-122.4244831,37.769157,,,
,15,65292398,,,0,,primary,0,-122.4239805,37.7713479,,,
,16,65292403,,,0,,secondary,0,-122.4238213,37.7697876,,,
,17,65292682,traffic_signals,,1,,primary,0,-122.4263994,37.7696323,6,,
,18,65292685,stop,,0,,residential,0,-122.4267972,37.7706675,,,
,19,65292687,,,0,,residential,0,-122.4269862,37.7715998,,,
,20,65292689,,,0,,residential,0,-122.4270789,37.7720572,,,
,21,65292690,,,0,,residential,0,-122.4271742,37.7725274,,,
,22,65292691,,,0,,residential,0,-122.4272709,37.7730066,,,
,23,65292692,,,0,,residential,0,-122.4273638,37.7734668,,,
,24,65292693,,,0,,residential,0,-122.4274578,37.7739324,,,
,25,65292695,traffic_signals,,1,,residential,0,-122.4275514,37.7743958,,,
,26,65292697,,,0,,residential,0,-122.4276457,37.7748632,,,
,27,65292699,traffic_signals,,1,,residential,0,-122.42774,37.7753305,,,
,28,65292700,,,0,,residential,0,-122.4278338,37.7757948,,,
,29,65292828,,,0,,tertiary,0,-122.429441,37.7644586,,,
,30,65292830,turning_circle,,0,,residential,0,-122.4294095,37.764132,,,
,31,65293870,,,0,,residential,0,-122.4265852,37.7657758,,,
,32,65294163,traffic_signals,,1,,primary,0,-122.4269057,37.7690276,,,
,33,65294171,traffic_signals,,1,,residential,0,-122.4266363,37.7678819,4,,
,34,65294178,,,0,,residential,0,-122.4267081,37.7670642,,,
,35,65294188,,,0,,residential,0,-122.4266309,37.7662621,,,
,36,65294202,traffic_signals,,1,,tertiary,0,-122.4264747,37.7646386,0,,
,37,65294209,,,0,,residential,0,-122.4264084,37.7639497,,,
,38,65294216,traffic_signals,,1,,tertiary,0,-122.426319,37.7630207,16,,
,39,65294225,,,0,,residential,0,-122.4262355,37.7621616,,,
,40,65294542,,,0,,residential,0,-122.4261318,37.7626322,,,
,41,65294547,,,0,,tertiary,0,-122.4263693,37.7635426,,,
,42,65296275,,,0,,residential,0,-122.4369153,37.7703346,,,
,43,65296309,traffic_signals,,1,,residential,0,-122.4358192,37.7690611,,,
,44,65296310,traffic_signals,,1,,tertiary,0,-122.4356482,37.7673365,,,
,45,65296312,,,0,,secondary,0,-122.435571,37.7665363,,,
,46,65296314,traffic_signals,,1,,secondary,0,-122.4354937,37.7657356,,,
,47,65296316,,,0,,residential,0,-122.4354207,37.7649784,,,
,48,65296319,,,0,,residential,0,-122.4353391,37.7641325,,,
,49,65296321,,,0,,secondary,0,-122.4352756,37.76347,,,
,50,65296324,traffic_signals,,1,,secondary,0,-122.4352027,37.76271,9,,
,51,65298396,,,0,,residential,0,-122.420901,37.762625,,,
,52,65298398,,,0,,tertiary,0,-122.420813,37.761747,,,
,53,65299264,,,0,,residential,0,-122.4302589,37.7694026,,,
,54,65299267,,,0,,tertiary,0,-122.430091,37.7676665,,,
