name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,0,5591077,1,102,,6.488351988946677,1.0,29.0,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)",,1
East 6th Street,1,5591077,102,1,,6.488351988946677,1.0,29.0,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304264 33.4231268)",,1
East 6th Street,2,5591077,102,117,,4.9859055803012176,1.0,29.0,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304005 33.4232277)",,1
East 6th Street,3,5591077,117,102,,4.9859055803012176,1.0,29.0,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.930412 33.4231839)",,1
East 6th Street,4,5591077,117,2,,191.8163213096161,1.0,29.0,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",,1
East 6th Street,5,5591077,2,117,,191.8163213096161,1.0,29.0,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295, -111.9304005 33.4232277)",,1
West 6th Street,6,5591085,180,421,,110.2443794082924,1.0,25.0,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409, -111.9400786 33.4243437)",,1
West 6th Street,7,5591085,421,180,,110.2443794082924,1.0,25.0,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409, -111.9412665 33.4243385)",,1
East 6th Street,8,5591100,161,6,,89.78103656718528,1.0,25.0,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581, -111.9373581 33.4243583, -111.9367572 33.424359, -111.936666 33.4243591)",,1
East 6th Street,9,5591100,6,161,,89.78103656718528,1.0,25.0,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)",,1
East 6th Street,10,5591100,6,70,,156.80956303232696,1.0,25.0,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.424366, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",,1
East 6th Street,11,5591100,70,6,,156.80956303232696,1.0,25.0,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.424366, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.936666 33.4243591)",,1
South Maple Avenue,12,5591429,7,363,,156.61380787967198,1.0,29.0,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",,1
South Maple Avenue,13,5591429,363,7,,156.61380787967198,1.0,29.0,,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998, -111.9412404 33.4212296, -111.9412418 33.4212879, -111.9412432 33.4213251, -111.9412608 33.4219305)",,1
South Ash Avenue,14,5594960,12,13,,124.8944682826986,1.0,29.0,,residential,6,"LINESTRING (-111.94234 33.4136148, -111.942349 33.4142597, -111.9423597 33.4144744, -111.9423738 33.4146487, -111.9423885 33.4146873, -111.9424188 33.4147283)",,1
South Ash Avenue,15,5594960,13,12,,124.8944682826986,1.0,29.0,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9423885 33.4146873, -111.9423738 33.4146487, -111.9423597 33.4144744, -111.942349 33.4142597, -111.94234 33.4136148)",,1
South Ash Avenue,16,5594960,13,14,,162.95941487713532,1.0,29.0,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9424388 33.4147724, -111.9424462 33.414825, -111.9424521 33.4157344, -111.9424522 33.4157881, -111.9424525 33.4159781, -111.9424526 33.4160145, -111.9424528 33.4161632, -111.9424528 33.4161904)",,1
South Ash Avenue,17,5594960,14,13,,162.95941487713532,1.0,29.0,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424528 33.4161632, -111.9424526 33.4160145, -111.9424525 33.4159781, -111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424462 33.414825, -111.9424388 33.4147724, -111.9424188 33.4147283)",,1
South Ash Avenue,18,5594960,14,15,,158.7765432574954,1.0,29.0,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424497 33.4169032, -111.9424492 33.4170136, -111.9424525 33.4176183)",,1
South Ash Avenue,19,5594960,15,14,,158.7765432574954,1.0,29.0,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424492 33.4170136, -111.9424497 33.4169032, -111.9424528 33.4161904)",,1
South Ash Avenue,20,5594960,15,16,,160.64527988984582,1.0,29.0,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424524 33.4177004, -111.9424519 33.4183184, -111.9424528 33.4184029, -111.9424582 33.4189409, -111.9424489 33.4189802, -111.9424268 33.4190138, -111.9423945 33.4190482)",,1
South Ash Avenue,21,5594960,16,15,,160.64527988984582,1.0,29.0,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424268 33.4190138, -111.9424489 33.4189802, -111.9424582 33.4189409, -111.9424528 33.4184029, -111.9424519 33.4183184, -111.9424524 33.4177004, -111.9424525 33.4176183)",,1
South Ash Avenue,22,5594960,16,364,,154.45078027005042,1.0,29.0,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.942368 33.4197262, -111.9423734 33.4204313)",,1
South Ash Avenue,23,5594960,364,16,,154.45078027005044,1.0,29.0,,residential,6,"LINESTRING (-111.9423734 33.4204313, -111.942368 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)",,1
South Terrace Road,24,5600278,28,373,,41.98805252861217,1.0,29.0,,residential,6,"LINESTRING (-111.9209653 33.4128775, -111.9209545 33.4125)",,1
South Terrace Road,25,5600278,373,28,,41.98805252861217,1.0,29.0,,residential,6,"LINESTRING (-111.9209545 33.4125, -111.9209653 33.4128775)",,1
East Apache Boulevard,26,5602753,73,72,,168.4913565571683,2.0,39.0,,primary,3,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9383 33.4149256)",,0
East Apache Boulevard,27,5602753,72,30,,92.29612420822636,2.0,39.0,,primary,3,"LINESTRING (-111.9383 33.4149256, -111.938104 33.4148441, -111.937825 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",,0
East Apache Boulevard,28,5602753,30,200,,32.334223607060224,2.0,39.0,,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",,0
West 4th Street,31,5603481,422,34,,65.00036566986924,1.0,25.0,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)",,1
West 4th Street,32,5603481,34,422,,65.00036566986924,1.0,25.0,,residential,6,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)",,1
South Mill Avenue,33,5607328,426,131,,159.6600172086936,3.0,30.0,,primary,3,"LINESTRING (-111.9400803 33.4219289, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",,0
West 10th Street,34,5608313,130,8,,112.26239086299044,1.0,29.0,,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531, -111.940488 33.4190526, -111.9405973 33.4190507, -111.9412375 33.4190521)",,1
West 10th Street,35,5608313,8,130,,112.26239086299044,1.0,29.0,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507, -111.940488 33.4190526, -111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)",,1
West 10th Street,36,5608313,8,16,,107.3849767468495,1.0,29.0,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)",,1
West 10th Street,37,5608313,16,8,,107.3849767468495,1.0,29.0,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412375 33.4190521)",,1
West 10th Street,38,5608313,16,188,,109.77954962285128,1.0,29.0,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9432482 33.4190383, -111.9433085 33.4190348, -111.9433719 33.4190264, -111.9434306 33.4190141, -111.9434766 33.4190015, -111.9435652 33.4189718)",,1
West 10th Street,39,5608313,188,16,,109.77954962285129,1.0,29.0,,residential,6,"LINESTRING (-111.9435652 33.4189718, -111.9434766 33.4190015, -111.9434306 33.4190141, -111.9433719 33.4190264, -111.9433085 33.4190348, -111.9432482 33.4190383, -111.9423945 33.4190482)",,1
West 10th Street,40,5608313,188,374,,41.13736801859466,1.0,29.0,,residential,6,"LINESTRING (-111.9435652 33.4189718, -111.9436258 33.4189528, -111.9436632 33.4189424, -111.9436854 33.4189363, -111.9437511 33.4189279, -111.9438168 33.4189228, -111.943884 33.4189205, -111.944 33.4189195)",,1
West 10th Street,41,5608313,374,188,,41.13736801859466,1.0,29.0,,residential,6,"LINESTRING (-111.944 33.4189195, -111.943884 33.4189205, -111.9438168 33.4189228, -111.9437511 33.4189279, -111.9436854 33.4189363, -111.9436632 33.4189424, -111.9436258 33.4189528, -111.9435652 33.4189718)",,1
West Hudson Lane,42,5611840,43,12,,227.1442849717556,1.0,29.0,,residential,6,"LINESTRING (-111.9398928 33.4136273, -111.9404614 33.4136244, -111.9412969 33.4136201, -111.9421721 33.4136157, -111.94234 33.4136148)",,1
West Hudson Lane,43,5611840,12,43,,227.14428497175555,1.0,29.0,,residential,6,"LINESTRING (-111.94234 33.4136148, -111.9421721 33.4136157, -111.9412969 33.4136201, -111.9404614 33.4136244, -111.9398928 33.4136273)",,1
West Hudson Lane,44,5611840,12,45,,27.275096570150474,1.0,29.0,,residential,6,"LINESTRING (-111.94234 33.4136148, -111.9426338 33.4136098)",,1
West Hudson Lane,45,5611840,45,12,,27.275096570150474,1.0,29.0,,residential,6,"LINESTRING (-111.9426338 33.4136098, -111.94234 33.4136148)",,1
South Rita Lane,46,5613884,46,375,,43.86753369746438,1.0,29.0,,residential,6,"LINESTRING (-111.9219906 33.4128945, -111.921994 33.4125)",,1
South Rita Lane,47,5613884,375,46,,43.86753369746438,1.0,29.0,,residential,6,"LINESTRING (-111.921994 33.4125, -111.9219906 33.4128945)",,1
East University Drive,48,5614812,430,427,,137.70168164129265,2.0,35.0,,secondary,4,"LINESTRING (-111.9381462 33.4218977, -111.9380605 33.4218977, -111.9367573 33.4219048, -111.9366625 33.4219038)",,0
East University Drive,49,5614812,427,48,,159.04708963471853,2.0,35.0,,secondary,4,"LINESTRING (-111.9366625 33.4219038, -111.9365628 33.4219033, -111.9358468 33.4219032, -111.9356516 33.4219032, -111.9352555 33.4219032, -111.9350608 33.4218992, -111.9349659 33.4219488)",,0
