name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,0,41459438,,,0,,,0,-111.9275146,33.4245016,,
,1,41529691,traffic_signals,,1,,,0,-111.9304264,33.4231268,,
,2,41529697,,,0,,,0,-111.9290798,33.4242989,,
,5,41529742,turning_loop,,0,,,0,-111.9391418,33.4243489,,
,6,41529813,,,0,,,0,-111.93666599999999,33.424359100000004,,
,7,41533533,,,0,,,0,-111.9412608,33.4219305,,
,8,41533538,,,0,,,0,-111.9412375,33.4190521,,
,9,41533540,,,0,,,0,-111.94123,33.4176195,,
,10,41533544,,,0,,,0,-111.94120500000001,33.416204,,
,11,41533545,,,0,,,0,-111.94118940000001,33.4147443,,
,12,41563455,,,0,,,0,-111.94233999999999,33.4136148,,
,13,41563456,,,0,,,0,-111.94241880000001,33.4147283,,
,14,41563458,,,0,,,0,-111.9424528,33.4161904,,
,15,41563460,,,0,,,0,-111.94245249999999,33.4176183,,
,16,41563464,,,0,,,0,-111.9423945,33.4190482,,
,17,41563472,,,0,,,0,-111.94237209999999,33.4205087,,
,18,41563475,traffic_signals,,1,,,0,-111.9423899,33.4219281,,
,19,41563500,traffic_signals,,1,,,0,-111.943347,33.4254811,,
,20,41563515,traffic_signals,,1,,,0,-111.94277190000001,33.4275569,,
,21,41563519,,,0,,,0,-111.94266909999999,33.427701899999995,,
,22,41573974,traffic_signals,,1,,,0,-111.9262973,33.4128826,,
,23,41573980,traffic_signals,,1,,,0,-111.9263074,33.4168484,,
,24,41573982,traffic_signals,,1,,,0,-111.92629050000001,33.4191375,,
,25,41573985,,,0,,,0,-111.92623789999999,33.42097630000001,,
,26,41606179,,,0,,,0,-111.922468,33.4167526,,
,27,41606183,,,0,,,0,-111.9204281,33.4128828,,
,28,41606207,,,0,,,0,-111.92096529999999,33.4128775,,
,29,41624255,,,0,,,0,-111.93996670000001,33.4167979,,
,30,41624258,,,0,,,0,-111.9373669,33.414646600000005,,
,31,41624261,traffic_signals,,1,,,0,-111.9366104,33.4145994,,
,32,41624268,,,0,,,0,-111.9306493,33.4147379,,
,34,41630202,,,0,,,0,-111.94077800000001,33.4264585,,
